race_id,EX_payout,runner_program_number_pp,x8is_exacta,official_finish_position,prob_x8runner_HDWPSRRating_norm_par
ARP_20160703_8,369.4,8,0.0,8.0,0.18811221070259038
ARP_20160703_8,369.4,9,,,0.022813630743104923
ARP_20160703_9,36.3,5,1.0,1.0,0.20545803414373498
ARP_20160703_9,36.3,8,1.0,2.0,0.013638223568662185
ARP_20160703_9,36.3,3,0.0,3.0,0.0060600367486928295
ARP_20160703_9,36.3,4,0.0,4.0,0.380422988253253
ARP_20160703_9,36.3,7,0.0,5.0,0.241646093981616
ARP_20160703_9,36.3,6,0.0,6.0,0.002488353961240634
ARP_20160703_9,36.3,11,0.0,7.0,0.008009959086755758
ARP_20160703_9,36.3,1,0.0,8.0,0.08331963471088807
ARP_20160703_9,36.3,10,0.0,9.0,0.03582800656643666
ARP_20160703_9,36.3,9,0.0,10.0,0.0006677857063019355
ARP_20160703_9,36.3,2,,,0.022460883272418047
BEL_20160703_1,23.2,4,1.0,1.0,0.6738200274891055
BEL_20160703_1,23.2,1A,0.0,3.0,0.04220685377041223
BEL_20160703_1,23.2,1,0.0,6.0,0.2839731187404823
BEL_20160703_10,91.0,10,1.0,1.0,0.10788944140705664
BEL_20160703_10,91.0,3,1.0,2.0,0.10788944140705664
BEL_20160703_10,91.0,5,0.0,3.0,0.20712996453762295
BEL_20160703_10,91.0,8,0.0,4.0,0.09369410103877103
BEL_20160703_10,91.0,2,0.0,5.0,0.012585536807116802
BEL_20160703_10,91.0,1,0.0,6.0,0.0022966248057106836
BEL_20160703_10,91.0,9,0.0,7.0,0.04368184893570424
BEL_20160703_10,91.0,4,0.0,8.0,0.14151006319726464
BEL_20160703_10,91.0,6,0.0,9.0,5.3205363871559683e-05
BEL_20160703_10,91.0,7,0.0,10.0,0.012585536807116804
BEL_20160703_10,91.0,11,,,0.23363696709219603
BEL_20160703_10,91.0,12,,,0.03704726860051209
BEL_20160703_2,25.75,2,1.0,1.0,0.1586552539315099
BEL_20160703_2,25.75,5,1.0,2.0,0.8413447460684901
BEL_20160703_3,31.25,2,1.0,1.0,0.20225764746433722
BEL_20160703_3,31.25,3,1.0,2.0,0.039473789495727295
BEL_20160703_3,31.25,1,0.0,3.0,0.5986534200652908
BEL_20160703_3,31.25,4,0.0,4.0,0.1158107714845048
